,ABD,Alcol_peso,Alcol_vol,Attenuazione Reale (RDF) %,Attenuazione vendita apparente %p,Cellule all'insemenzamento,Diacetile + precursori (ferm.),Differenza apparente-limite,Durata di conservazione lievito in cella,Estratto apparente,Estratto apparente limite %Pp,Estratto reale,Fermentation rate (13.5°-5.5°),Grado primitivo %Pp,Hopped Wort,Hopped Wort (37°C),NBB-A,NBB-B,Pentandione + precursori,pH,Rapporto ER/ABW,Temperatura Fermentazione,Temp. lievito all'insemenzamento,Tempo di riduzione diacetile
968,0.0,4.9,6.27,63.4,78.57,17.2,37.0,0.64,20.47475871313673,3.16,2.52,5.4,2.04,14.75,0.0,0.0,0.0,0.0,43.0,4.35,1.1,12.807534027221777,2.8270625,10.88
969,0.0,5.66,7.24,66.42,82.22,0.95,40.0,0.49,27.0,2.87,2.38,5.42,2.3,16.14,0.0,0.0,0.0,0.0,34.0,4.59,0.96,12.807534027221777,2.5,11.219009009009008
970,0.0,5.32,6.8,65.76,81.4,16.8,50.0,0.61,27.0,2.86,2.25,5.27,2.18,15.39,0.0,0.0,0.0,0.0,54.0,4.3,0.99,12.807534027221777,2.5,11.0
971,0.0,3.86,4.94,60.94,75.56,17.0,94.0,0.5,14.42,3.0,2.5,4.79,1.66,12.26,0.0,0.0,0.0,0.0,84.0,4.42,1.24,13.0,2.5,13.58
972,0.0,4.25,5.4,67.81,88.3,15.8,20.0,0.15,15.0,1.45,1.3,4.17,2.4,12.39,0.0,0.0,0.0,0.0,24.0,4.15,0.98,10.0,2.5,15.21
973,0.0,4.41,5.61,70.08,88.3,16.5,20.0,0.09,21.6,1.48,1.39,3.89,1.95,12.41,0.0,0.0,0.0,0.0,21.0,4.05,0.88,10.0,2.5,13.92
974,0.0,4.34,5.52,69.26,86.3,16.0,20.0,0.3,23.5,1.69,1.39,3.98,2.24,12.38,0.0,0.0,0.0,0.0,27.0,4.21,0.92,10.0,2.5,14.25
975,0.0,4.3,5.47,68.75,87.5,16.3,25.0,0.31,42.8,1.55,1.24,4.04,2.21,12.36,0.0,0.0,0.0,0.0,23.0,4.14,0.94,10.0,2.5,14.08
976,0.0,4.5,5.72,71.87,87.4,16.4,17.0,0.18,21.3,1.55,1.37,3.64,1.75,12.35,0.0,0.0,0.0,0.0,17.0,4.09,0.81,10.0,2.5,15.96
977,0.0,4.48,5.7,71.56,87.5,16.2,13.0,0.33,28.05,1.54,1.21,3.68,2.55,12.35,0.0,0.0,0.0,0.0,16.0,4.07,0.82,10.0,2.5,15.67
978,0.0,4.49,5.71,71.33,87.5,16.4,13.0,0.2,26.0,1.41,1.21,3.73,2.13,12.41,0.0,0.0,0.0,0.0,16.0,4.07,0.83,10.0,2.5,10.42
979,0.0,4.56,5.8,72.19,87.9,15.9,20.0,0.22,8.0,1.51,1.29,3.63,2.33,12.45,0.0,0.0,0.0,0.0,25.0,4.1,0.8,10.0,2.0,14.21
980,0.0,4.49,5.71,71.38,87.7,16.2,20.0,0.25,16.5,1.53,1.28,3.72,2.21,12.4,0.0,0.0,0.0,0.0,21.0,4.02,0.83,10.0,2.0,14.92
981,0.0,4.54,5.77,72.1,87.5,16.2,24.0,0.24,8.05,1.55,1.31,3.63,2.13,12.41,0.0,0.0,0.0,0.0,24.0,4.09,0.8,10.0,2.5,13.42
982,0.0,4.5,5.72,71.7,87.8,16.3,18.0,0.17,14.4,1.51,1.34,3.67,2.15,12.38,0.0,0.0,0.0,0.0,22.0,4.02,0.82,10.0,2.5,14.13
983,0.0,4.52,5.75,72.07,87.7,16.0,21.0,0.32,11.42,1.53,1.21,3.62,2.1,12.36,0.0,0.0,0.0,0.0,25.0,4.06,0.8,10.0,2.5,13.63
984,0.0,4.52,5.75,71.9,89.3,15.9,15.0,0.17,24.1,1.43,1.26,3.65,2.12,12.39,0.0,0.0,0.0,0.0,14.0,4.04,0.81,10.0,2.5,17.13
985,0.0,4.57,5.81,72.85,88.3,16.1,21.0,0.19,6.0,1.44,1.25,3.52,2.46,12.36,0.0,0.0,0.0,0.0,28.0,4.05,0.77,10.0,2.5,12.83
986,0.0,4.5,5.72,71.7,88.4,16.4,21.0,0.19,12.3,1.44,1.25,3.67,2.13,12.38,0.0,0.0,0.0,0.0,23.0,4.05,0.82,10.0,2.5,14.58
987,0.0,4.46,5.67,70.97,86.6,16.5,21.0,0.45,7.0,1.66,1.21,3.77,2.51,12.4,0.0,0.0,0.0,0.0,26.0,4.05,0.85,10.0,2.5,15.08
